unit,treatment,leaf_area_cm2
14,control,"900,004"
16,drought,"166,224"
21,drought,"206,214"
23,control,"1238,84"
23,drought,"237,43"
25,control,"327,572"
26,drought,"255,717"
29,control,"994,567"
43,control,"285,19"
53,drought,"42,983"
55,drought,"51,961"
60,drought,"71,08"
66,drought,"64,018"
69,drought,"41,294"
70,control,"292,956"
71,control,"313,987"
72,control,"193,654"
73,control,"246,91"
75,control,"146,309"
76,control,"135,362"
77,control,"373,105"
78,control,"340,344"
79,control,"329,1"
80,control,"327,906"
81,control,"156,51"
82,control,"118,966"
84,control,"182,046"
86,control,"318,141"
87,control,"576,255"
88,control,"155,596"
89,control,"259,707"
90,control,"167,845"
91,control,"330,391"
92,control,"293,407"
93,control,"413,431"
94,control,"173,258"
96,control,"434,747"
97,control,"364,977"
98,control,"282,102"
99,control,"413,174"